isin,securityid,newbsecode,oldbsecode,newnsecode,oldnsecode,newname,oldname,symbol,sector
INE0NDX01019,210662,INSPIRE,,INSPIRE,,Inspire Films,,INSPIRE,
INE0NEV01011,543941,AHASOLAR,,,,Ahasolar Technologies,,AHASOLAR,
INE0NIJ01017,543848,DEVLAB,,,,Dev Labtech Venture,,DEVLAB,
INE0NJ001013,543920,CFF,,,,CFF Fluid Control,,CFF,
INE0NLB01018,209553,VERTEXPLUS,,VERTEXPLUS,,Vertexplus Technologies,,VERTEXPLUS,
INE0NLJ01011,543830,LABELKRAFT,,,,Labelkraft Technologies,,LABELKRAFT,
INE0NLT01010,544107,BLSE,,BLSE,,BLS E-Services,,BLSE,
INE0NN701020,543954,ATL,,ATL,,Allcargo Terminals,,ATL,
INE0NNS01018,543768,NSLNISP,,NSLNISP,,NMDC Steel,,NSLNISP,
INE0NNZ01013,210380,INFOLLION,,INFOLLION,,Infollion Research Services,,INFOLLION,
INE0NON01025,213479,SHKSIL,,SHKSIL,,Shri Hare-Krishna Sponge Iron,,SHKSIL,
INE0NPA01011,543798,PATRON,,,,Patron Exim,,PATRON,
INE0NPI01014,209532,SRIVASAVI,,SRIVASAVI,,Srivasavi Adhesive Tapes,,SRIVASAVI,
INE0NQ401016,544337,AVAX,,,,Avax Apparels and Ornaments,,AVAX,
INE0NQ801033,544136,RKSWAMY,,RKSWAMY,,RK Swamy,,RKSWAMY,
INE0NR501012,544371,VIKRAMAR,,,,Vikram Aroma,,VIKRAMAR,
INE0NR701018,210351,KRISHCA,,KRISHCA,,Krishca Strapping Solutions,,KRISHCA,
INE0NT601018,543709,GARGI,,,,PNGS Gargi Fashion Jewellery,,GARGI,
INE0NT901020,543945,NETWEB,,NETWEB,,Netweb Technologies,,NETWEB,
INE0NTC01019,543902,RETINA,,,,Retina Paints,,RETINA,
INE0NUL01018,210338,AUROIMPEX,,AUROIMPEX,,Auro Impex & Chemicals,,AUROIMPEX,
INE0NVI01020,210786,TRANSTEEL,,TRANSTEEL,,Transteel Seating,,TRANSTEEL,
INE0NXA01015,543921,COMRADE,,,,Comrade Appliances,,COMRADE,
INE0NY101012,505032,AUTOPRD,,,,AUTOPRD,,AUTOPRD,
INE0NYN01016,543805,RESGEN,,,,ResGen,,RESGEN,
INE0NZF01019,543937,ALPHAIND,,,,Alphalogic Industries,,ALPHAIND,
INE0NZW01014,15143,,,PATTECH,,Pattech Fitwell Tube Components,,PATTECH,
INE0O0001013,210434,CELLPOINT,,CELLPOINT,,Cell Point,,CELLPOINT,
INE0O0201019,210426,URBAN,,URBAN,,Urban Enviro Waste Management,,URBAN,
INE0O1M01015,209601,QFIL,,QFIL,,Quality Foils,,QFIL,
INE0O1S01012,210455,MAGSON,,MAGSON,,Magson Retail & Distribution,,MAGSON,
INE0O1T01010,543874,MAIDEN,,,,Maiden Forgings,,MAIDEN,
INE0O2D01012,209842,SOTAC,,SOTAC,,Sotac Pharmaceuticals,,SOTAC,
INE0O3901029,543955,TREL,,TREL,,Transindia Real Estate,,TREL,
INE0O3O01017,210569,SEL$,,SEL,,Sungarner Energies,,SEL$,
INE0O4601016,543782,SEALMATIC,,,,Sealmatic,,SEALMATIC,
INE0O4M01019,209598,MCON,,MCON,,Mcon Rasayan,,MCON,
INE0O4R01018,210403,KDL,,KDL,,Kore Digital,,KDL,
INE0O4V01010,543765,EARTH,,,,Earthstahl & Alloys,,EARTH,
INE0O5T01011,210352,REMUS,,REMUS,,Remus Pharmaceuticals,,REMUS,
INE0O6601022,544253,KROSS,,KROSS,,Kross,,KROSS,
INE0O6A01019,543806,ITCONS,,,,ITCONS E-Solutions,,ITCONS,
INE0O6N01012,210301,AGUL,,AGUL,,AG Universal,,AGUL,
INE0O7401018,211004,IBLFL,,IBLFL,,IBL Finance,,IBLFL,
INE0O7A01017,210599,PRAMARA,,PRAMARA,,Pramara Promotions,,PRAMARA,
INE0O7P01015,210456,GREENCHEF,,GREENCHEF,,Greenchef Appliances,,GREENCHEF,
INE0O7R01011,209554,SYSTANGO,,SYSTANGO,,Systango Technologies,,SYSTANGO,
INE0O8901016,543895,EXHICON,,,,Exhicon Events Media Solutions,,EXHICON,
INE0O9T01021,544364,BAJAJINDEF,,BAJAJINDEF,,Indef Manufacturing,,BAJAJINDEF,
INE0OAF01028,544167,JNKINDIA,,JNKINDIA,,JNK India,,JNKINDIA,
INE0OB201016,210436,AATMAJ,,AATMAJ,,Aatmaj Healthcare,,AATMAJ,
INE0OCC01013,210598,BASILIC,,BASILIC,,Basilic Fly Studio,,BASILIC,
INE0OFK01019,210375,CRAYONS,,CRAYONS,,Crayons Advertising,,CRAYONS,
INE0OGG01015,22537,,,DHTL,,Docmode Health Technologies,,DHTL,
INE0OH401016,544013,KKSHL,,,,KK Shah Hospitals,,KKSHL,
INE0OIP01012,210583,MONOPHARMA,,MONOPHARMA,,Mono Pharmacare,,MONOPHARMA,
INE0OJ401014,543926,BIZOTIC,,,,Bizotic Commercial,,BIZOTIC,
INE0OJM01017,210657,MASTER,,MASTER,,Master Components,,MASTER,
INE0OJW01016,544294,ROSSTECH,,ROSSTECH,,Rossell Techsys,,ROSSTECH,
INE0OJZ01019,543970,SHOORA,,,,Shoora Designs,,SHOORA,
INE0OK701014,209622,NIRMAN,,NIRMAN,,Nirman Agri Genetics,,NIRMAN,
INE0OKG01017,543814,PCL,,,,Prospect Consumer Products,,PCL,
INE0OL001018,210427,SPECTSTM,,SPECTSTM,,Spectrum Talent Management,,SPECTSTM,
INE0OLH01013,543787,ROBU,,,,Macfos,,ROBU,
INE0OLS01010,210684,VINYAS,,VINYAS,,Vinyas Innovative Technologies,,VINYAS,
INE0OLZ01015,544105,HARSHDEEP,,,,Harshdeep Hortico,,HARSHDEEP,
INE0OMF01015,210530,SHRITECH,,SHRITECH,,Shri Techtex,,SHRITECH,
INE0OMI01019,543831,BRIGHT,,,,Bright Outdoor Media,,BRIGHT,
INE0OMO01025,211856,CELLECOR,,CELLECOR,,Cellecor Gadgets,,CELLECOR,
INE0OMZ01013,544157,VRUDDHI,,,,VRUDDHI,,VRUDDHI,
INE0ON201012,210547,SSFL,,SSFL,,Srivari Spices & Foods,,SSFL,
INE0ONE01016,210378,PROV,,PROV,,Proventus Agrocom,,PROV,
INE0ONG01011,544289,NTPCGREEN,,NTPCGREEN,,NTPC Green Energy,,NTPCGREEN,
INE0OO201011,212046,WOL3D,,WOL3D,,Wol 3D India,,WOL3D,
INE0OPA01019,544276,DBEIL,,DBEIL,,Deepak Builders & Engineers,,DBEIL,
INE0OPC01015,211172,INM,,INM,,Interiors & More,,INM,
INE0OPS01011,210693,OLIL,,OLIL,,One Click Logistics,,OLIL,
INE0ORA01015,543928,COSMICCRF,,,,Cosmic CRF,,COSMICCRF,
INE0ORS01017,210473,PENTAGON,,PENTAGON,,Pentagon Rubber,,PENTAGON,
INE0OSJ01014,210540,VINSYS,,VINSYS,,Vinsys IT Services,,VINSYS,
INE0OUS01011,530757,SHENTRA,,,,Shentracon Chemicals,,SHENTRA,
INE0OUT01019,210541,ORIANA,,ORIANA,,Oriana Power,,ORIANA,
INE0OUW01013,211692,DURLAX,,DURLAX,,Durlax Top Surface,,DURLAX,
INE0OV601013,543983,EMSLIMITED,,EMSLIMITED,,EMS,,EMSLIMITED,
INE0OVI01010,210545,SANGANI,,SANGANI,,Sangani Hospitals,,SANGANI,
INE0OWC01011,543953,KHAZANCHI,,,,Khazanchi Jewellers,,KHAZANCHI,
INE0OWX01025,210632,KEL$,,KEL,,Kundan Edifice,,KEL$,
INE0OXV01027,211779,TUNWAL,,TUNWAL,,Tunwal e-Motors,,TUNWAL,
INE0OXY01013,544224,AFCOM,,,,Afcom Holdings,,AFCOM,
INE0OYE01013,543982,QUESTFLOW,,,,Meson Valves,,QUESTFLOW,
INE0OYK01010,544121,RUDRAGAS,,,,Rudra Gas Enterprise,,RUDRAGAS,
INE0P0001010,211016,APS,,APS,,Australian Premium Solar,,APS,
INE0P1P01017,210873,MARINETRAN,,MARINETRAN,,Marinetrans India,,MARINETRAN,
INE0P1Q01015,210498,SERVICE,,SERVICE,,Service Care,,SERVICE,
INE0P3N01018,543939,KAKA,,,,Kaka Industries,,KAKA,
INE0P4701011,211764,SAHAJSOLAR,,SAHAJSOLAR,,Sahaj Solar,,SAHAJSOLAR,
INE0P4P01011,543991,TECHKGREEN,,,,Techknowgreen Solutions,,TECHKGREEN,
INE0P4T01013,210730,ARVINDPORT,,ARVINDPORT,,Arvind port & Infra,,ARVINDPORT,
INE0P5R01014,28044,,,PURPLEUTED,,Purple United Sales,,PURPLEUTED,
INE0P6701019,210633,MADHUSUDAN,,MADHUSUDAN,,Madhusudan Masala,,MADHUSUDAN,
INE0P6P01016,544499,CPEDU,,CPEDU,,Career Point Edutech,,CPEDU,
INE0P7001013,543897,SANCODE,,,,Sancode Technologies,,SANCODE,
INE0P7201019,210495,DRONE,,DRONE,,Drone Destination,,DRONE,
INE0P8X01016,212234,AGARWALTUF,,AGARWALTUF,,Agarwal Toughened Glass,,AGARWALTUF,
INE0P9J01013,544037,AMIC,,,,Amic Forging,,AMIC,
INE0PA401012,544388,IDENTIXWEB,,,,Identixweb,,IDENTIXWEB,
INE0PA601017,544002,VIVAA,,,,Vivaa Tradecom,,VIVAA,
INE0PA801013,543918,GHCLTEXTIL,,GHCLTEXTIL,,GHCL Textiles,,GHCLTEXTIL,
INE0PB301013,544142,SCILAL,,SCILAL,,SCI Land & Assets,,SCILAL,
INE0PC901019,23562,,,BIRDYS,,Grill Splendour Services,,BIRDYS,
INE0PCL01011,210600,SAROJA,,SAROJA,,Saroja Pharma Industries,,SAROJA,
INE0PCU01012,211832,RAJINDLTD,,RAJINDLTD,,Rajputana Industries,,RAJINDLTD,
INE0PCY01014,210974,AKANKSHA,,AKANKSHA,,Akanksha Power & Infrastructure,,AKANKSHA,
INE0PDJ01013,210810,ROXHITECH,,ROXHITECH,,ROX Hi-Tech,,ROXHITECH,
INE0PE401018,211710,MEDIORG,,MEDIORG,,Medicamen Organics,,MEDIORG,
INE0PEQ01016,544060,RBZJEWEL,,RBZJEWEL,,RBZ Jewellers,,RBZJEWEL,
INE0PIC01017,210637,HIGREEN,,HIGREEN,,Hi-Green Carbon,,HIGREEN,
INE0PK601023,544278,OCCLLTD,,OCCLLTD,,OCCL,,OCCLLTD,
INE0PKD01011,544492,MEIL,,MEIL,,Mangal Electrical Industries,,MEIL,
INE0PLQ01011,210787,MAITREYA,,MAITREYA,,Maitreya Medicare,,MAITREYA,
INE0PLX01017,215186,GREENLEAF,,GREENLEAF,,Greenleaf Envirotech,,GREENLEAF,
INE0PLZ01012,210820,SUNREST,,SUNREST,,Sunrest Lifescience,,SUNREST,
INE0PMR01017,211721,AKIKO,,AKIKO,,Akiko Global Services,,AKIKO,
INE0PO601011,544205,NPL,,,,NPL,,NPL,
INE0POP01017,543938,ACCELERATE,,,,AccelerateBS,,ACCELERATE,
INE0POU01017,210877,GRAPHISAD,,GRAPHISAD,,Graphisads,,GRAPHISAD,
INE0PP401015,544025,ARROWHEAD,,,,Arrowhead Seperation Engineering,,ARROWHEAD,
INE0PPK01015,544235,ORIENTTECH,,ORIENTTECH,,Orient Technologies,,ORIENTTECH,
INE0PPS01018,210532,ZEAL$,,ZEAL,,Zeal Global Services,,ZEAL$,
INE0PQ001012,210691,VISHNUINFR,,VISHNUINFR,,Vishnusurya Projects,,VISHNUINFR,
INE0PQ101010,544230,SSDL,,SSDL,,Saraswati Saree Depot,,SSDL,
INE0PQ601019,212610,BALAJIPHOS,,BALAJIPHOS,,Balaji Phosphates,,BALAJIPHOS,
INE0PQK01013,211693,FALCONTECH,,FALCONTECH,,Falcon Technoprojects,,FALCONTECH,
INE0PRF01011,210616,UNIHEALTH,,UNIHEALTH,,Unihealth Hospitals,,UNIHEALTH,
INE0PS301014,210968,INDIFRA,,INDIFRA,,Indifra,,INDIFRA,
INE0PS501019,210474,GLOBALPET,,GLOBALPET,,Global Pet Industries,,GLOBALPET,
INE0PSC01024,544079,DIGIDRIVE,,DIGIDRIVE,,Digidrive Distributors,,DIGIDRIVE,
INE0PSJ01011,544056,SMARITIME,,,,Sahara Maritime,,SMARITIME,
INE0PSK01027,210658,SAAKSHI,,SAAKSHI,,Saakshi Medtech & Panels,,SAAKSHI,
INE0PT101017,210620,CHAVDA,,CHAVDA,,Chavda Infra,,CHAVDA,
INE0PT501018,544134,PLATIND,,PLATIND,,Platinum Industries,,PLATIND,
INE0PTF01017,544452,SWASTIKAAL,,,,Swastika Castal,,SWASTIKAAL,
INE0PTR01012,210839,ROCKINGDCE,,ROCKINGDCE,,Rockingdeals Circular Economy,,ROCKINGDCE,
INE0PUC01020,210788,SARTELE,,SARTELE,,SAR Televenture,,SARTELE,
INE0PW501021,210663,NEWJAISA,,NEWJAISA,,Newjaisa Technologies,,NEWJAISA,
INE0PXC01024,213509,ETL,,ETL,,Emkay Tools,,ETL,
INE0PXD01014,210708,PLADAINFO,,PLADAINFO,,Plada Infotech,,PLADAINFO,
INE0PYT01018,544094,EUPHORIAIT,,,,Euphoria Infotech (India),,EUPHORIAIT,
INE0PZA01015,210971,SAIFL,,SAIFL,,Sameera Agro & Infra,,SAIFL,
INE0PZB01013,544259,PFL,,,,Popular Foundations,,PFL,
INE0PZK01014,210803,MICROPRO,,MICROPRO,,Micropro Software Solutions,,MICROPRO,
INE0Q0M01015,543931,VEEFIN,,,,Veefin Solutions,,VEEFIN,
INE0Q1R01012,544091,QLL,,,,Qualitek Labs,,QLL,
INE0Q1S01010,544001,SUNITATOOL,,,,Sunita Tools Limited,,SUNITATOOL,
INE0Q1W01012,210949,EFORCE,,EFORCE,,Electro Force,,EFORCE,
INE0Q2L01013,544331,DAVIN,,,,Davin Sons Retail,,DAVIN,
INE0Q2V01012,210988,KLL,,KLL,,Kaushalya Logistics,,KLL,
INE0Q2Z01013,544052,BENCHMARK,,,,Benchmark Computer Soluti,,BENCHMARK,
INE0Q3401017,544257,SAFE,,,,Sodhani Academy of Fintec,,SAFE,
INE0Q3J01015,544263,KRN,,KRN,,KRN Heat Exchanger and Refrigeration,,KRN,
INE0Q3R01026,544066,SUNCLAY,,SUNCLAY,,Sundaram Clayton,,SUNCLAY,
INE0Q4701019,211091,FONEBOX,,FONEBOX,,Fonebox Retail,,FONEBOX,
INE0Q5D01013,210915,ACCENTMIC,,ACCENTMIC,,Accent Microcell,,ACCENTMIC,
INE0Q6001012,212007,PSFL,,PSFL,,Paramount Speciality Forgings,,PSFL,
INE0Q6901013,544011,VPL,,,,Vrundavan Plantation,,VPL,
INE0Q6H01012,211253,SONAMAC,,SONAMAC,,Sona Machinery,,SONAMAC,
INE0Q6L01014,544101,BRISK,,,,Brisk Technovision,,BRISK,
INE0Q7P01013,210634,KODYTECH,,KODYTECH,,Kody Technolab,,KODYTECH,
INE0Q8P01029,543971,BONDADA,,,,Bondada Engineering,,BONDADA,
INE0Q9301021,544311,IGIL,,IGIL,,International Gemmological Institute,,IGIL,
INE0Q9601016,210746,WOMANCART,,WOMANCART,,WomanCart,,WOMANCART,
INE0Q9Q01017,210775,SHANTHALA,,SHANTHALA,,Shanthala FMCG Products,,SHANTHALA,
INE0Q9W01015,544164,FAALCON,,,,Faalcon Concepts,,FAALCON,
INE0QA601016,211281,PRATHAM,,PRATHAM,,Pratham EPC Projects,,PRATHAM,
INE0QA901010,544237,RAPID,,,,Rapid Multimodal Logistics,,RAPID,
INE0QBD01018,544312,HAMPS,,,,Hamps Bio,,HAMPS,
INE0QBU01012,210584,CPS,,CPS,,CPS Shapers,,CPS,
INE0QD201012,210969,TECHLABS,,TECHLABS,,Trident Techlabs,,TECHLABS,
INE0QEI01011,211065,KONSTELEC,,KONSTELEC,,Konstelec Engineers,,KONSTELEC,
INE0QFE01017,210694,GOYALSALT,,GOYALSALT,,Goyal Salt,,GOYALSALT,
INE0QFT01015,544072,AIKPIPES,,,,AIK Pipes and Polymers,,AIKPIPES,
INE0QG301017,210695,CANARYS,,CANARYS,,Canarys Automations,,CANARYS,
INE0QHG01026,210970,SUPREMEPWR,,SUPREMEPWR,,Supreme Power Equipment,,SUPREMEPWR,
INE0QHY01011,544156,GCONNECT,,,,Gconnect Logitech & Supply Chain,,GCONNECT,
INE0QI101019,544015,MISHDESIGN,,,,Mish Designs,,MISHDESIGN,
INE0QIS01011,544083,SHREE,,,,Shree Marutinandan Tubes,,SHREE,
INE0QJ901011,210660,DIGIKORE,,DIGIKORE,,Digikore Studios,,DIGIKORE,
INE0QJL01014,211173,TCL,,TCL,,Thaai Casting,,TCL,
INE0QMR01015,544220,CTLLAB,,,,Clinitech Laboratory,,CTLLAB,
INE0QMV01017,544535,BHARATROHAN,,,,Bharatrohan Airborne Innovations,,BHARATROHAN,
INE0QN801017,544149,KRYSTAL,,KRYSTAL,,Krystal Integrated Services,,KRYSTAL,
INE0QNI01012,211955,BOSS,,BOSS,,Boss Packaging Solutions,,BOSS,
INE0QOQ01013,544173,FTL,,,,FTL,,FTL,
INE0QP001012,210638,MARCO,,MARCO,,Marco Cables & Conductors,,MARCO,
INE0QP701017,544565,VALPLAST,,,,Valplast Technologies,,VALPLAST,
INE0QQG01019,544143,ROYAL,,,,Royal Sense,,ROYAL,
INE0QQJ01021,544330,PARMESHWAR,,,,Parmeshwar Metal,,PARMESHWAR,
INE0QQM01017,211250,VR,,VR,,VR Infraspace,,VR,
INE0QR801013,211978,SPPPOLY,,SPPPOLY,,SPP Polymer,,SPPPOLY,
INE0QRL01017,544261,ARKADE,,ARKADE,,Arkade Developers,,ARKADE,
INE0QRV01016,211582,ABSMARINE,,ABSMARINE,,ABS Marine Services,,ABSMARINE,
INE0QSB01016,544169,AMKAY,,,,Amkay Products,,AMKAY,
INE0QSK01017,544047,SIYARAM,,,,Siyaram Recycling Industr,,SIYARAM,
INE0QTE01018,211975,GAJANAND,,GAJANAND,,Gajanand International,,GAJANAND,
INE0QTF01015,544124,VSTL,,VSTL,,Vibhor Steel Tubes,,VSTL,
INE0QU501030,544560,SODHACAP,,,,Sodhani Capital,,SODHACAP,
INE0QUL01011,544265,NEXXUS,,,,Nexxus Petro Industries,,NEXXUS,
INE0QUV01010,544189,SATTRIX,,,,Sattrix Information Security,,SATTRIX,
INE0QVH01025,544150,KPGEL,,,,KP Green Engineering,,KPGEL,
INE0QW501012,210809,BABAFP,,BABAFP,,Baba Food Processing,,BABAFP,
INE0QWN01013,211179,ZENITHDRUG,,ZENITHDRUG,,Zenith Drugs,,ZENITHDRUG,
INE0QX401014,212394,BARFLEX,,BARFLEX,,Barflex Polyfilms,,BARFLEX,
INE0QX901013,213174,RAPIDFLEET,,RAPIDFLEET,,Rapid Fleet Management Services,,RAPIDFLEET,
INE0QXL01015,211799,VLINFRA,,VLINFRA,,VL Infra Projects,,VLINFRA,
INE0QXT01018,544170,SAI,,,,Sai Swami Metals & Alloys,,SAI,
INE0QXV01014,544112,JGTL,,,,Jasch Gauging Technologies,,JGTL,
INE0QYI01019,212057,DIVYADHAN,,DIVYADHAN,,Divyadhan Recycling Industries,,DIVYADHAN,
INE0QZ901011,544188,MAGENTA,,,,Magenta Lifecare,,MAGENTA,
INE0QZF01012,544108,GPSL,,,,GPSL,,GPSL,
INE0QZM01018,23488,,,DRSCARGO,,DRS Cargo Movers,,DRSCARGO,
INE0QZQ01019,544059,SHANTIDENM,,,,Shanti Spintex,,SHANTIDENM,
INE0R0201012,212221,LAMOSAIC,,LAMOSAIC,,Lamosaic India,,LAMOSAIC,
INE0R0J01010,211784,MACOBSTECH,,MACOBSTECH,,Macobs Technologies,,MACOBSTECH,
INE0R1601012,210916,PRESSTONIC,,PRESSTONIC,,Presstonic Engineering,,PRESSTONIC,
INE0R3101011,211802,MIEL,,MIEL,,Manglam Infra & Engineering,,MIEL,
INE0R3501012,210975,HRHNEXT,,HRHNEXT,,HRH Next Services,,HRHNEXT,
INE0R3T01013,211583,MANDEEP,,MANDEEP,,Mandeep Auto Industries,,MANDEEP,
INE0R4701017,211127,ALPEXSOLAR,,ALPEXSOLAR,,Alpex Solar,,ALPEXSOLAR,
INE0R4L01018,544345,DENTA,,DENTA,,Denta Water and Infra Solutions,,DENTA,
INE0R4W01015,544178,PIOTEX,,,,Piotex Industries,,PIOTEX,
INE0R4Z01018,211898,BRACEPORT,,BRACEPORT,,Brace Port Logistics,,BRACEPORT,
INE0R5Z01015,544106,MCFL,,,,Mayank Cattle Food,,MCFL,
INE0R6801013,544168,VARYAA,,,,Varyaa Creations,,VARYAA,
INE0R6C01012,211225,PURVFLEXI,,PURVFLEXI,,Purv Flexipack,,PURVFLEXI,
INE0R6Z01013,544158,SRM,,SRM,,SRM Contractors,,SRM,
INE0R7301013,211602,RULKA,,RULKA,,Rulka Electricals,,RULKA,
INE0R7401011,211498,CGRAPHICS,,CGRAPHICS,,Creative Graphics Solutions,,CGRAPHICS,
INE0R7D01018,544190,3CIT,,,,3C IT Solutions & Telecoms,,3CIT,
INE0R7R01018,211121,ITALIANE,,ITALIANE,,Italian Edibles,,ITALIANE,
INE0R8101016,544361,COVANCE,,,,Covance Softsol,,COVANCE,
INE0R8B01010,544487,PATELRMART,,PATELRMART,,Patel Retail,,PATELRMART,
INE0R8C01018,211758,GGBL,,GGBL,,Ganesh Green Bharat,,GGBL,
INE0R8M01017,211218,OWAIS,,OWAIS,,Owais Metal & Mineral Processing,,OWAIS,
INE0R8Q01018,544559,OML,,,,Om Metallogic,,OML,
INE0R9101015,212499,ELGNZ,,ELGNZ,,Eleganz Interiors,,ELGNZ,
INE0R9401019,211289,AVPINFRA,,AVPINFRA,,AVP Infracon,,AVPINFRA,
INE0R9I01021,212475,ENSER,,ENSER,,Enser Communications,,ENSER,
INE0RB801010,544319,SENORES,,SENORES,,Senores Pharmaceuticals,,SENORES,
INE0RBQ01018,212058,SAHASRA,,SAHASRA,,Sahasra Electronic Solutions,,SAHASRA,
INE0RCG01017,210987,KCEIL,,KCEIL,,Kay Cee Energy & Infra,,KCEIL,
INE0RDE01010,211283,SIGNORIA,,SIGNORIA,,Signoria Creation,,SIGNORIA,
INE0RDH01021,211066,LAWSIKHO,,LAWSIKHO,,Addictive Learning Technology,,LAWSIKHO,
INE0RDJ01019,544436,VANDAN,,,,Vandan Foods,,VANDAN,
INE0RDM01013,544036,DEEPAKCHEM,,,,Deepak Chemtex,,DEEPAKCHEM,
INE0RDR01012,544035,SPL,,,,Swashthik Plascon,,SPL,
INE0RE001014,544244,GALAPREC,,GALAPREC,,Gala Precision Engineering,,GALAPREC,
INE0RFP01011,211833,SSEGL,,SSEGL,,Sathlokhar Synergys E&C Global,,SSEGL,
INE0RGM01016,544171,STAL,,,,Storage Technologies & Automation,,STAL,
INE0RH001011,544329,VANDU,,,,Leo Dryfruits & Spices Trading,,VANDU,
INE0RHD01013,212266,ETML,,ETML,,Emerald Tyre Manufacturers,,ETML,
INE0RIQ01013,544183,ASSOCIATED,,,,Associated Coaters,,ASSOCIATED,
INE0RJ901010,544399,SRIGEE,,,,Srigee DLM,,SRIGEE,
INE0RJH01010,211522,RBS,,RBS,,Ramdevbaba Solvent,,RBS,
INE0RJM01010,211469,NAMAN,,NAMAN,,Naman In-Store,,NAMAN,
INE0RMF01018,212000,OSELDEVICE,,OSELDEVICE,,Osel Devices,,OSELDEVICE,
INE0RMR01013,544221,KIZI,,,,Kizi Apparels,,KIZI,
INE0RNZ01014,544074,SBVCL,,,,Shri Balaji Valve Components,,SBVCL,
INE0RPM01017,211774,SATIPOLY,,SATIPOLY,,Sati Poly Plast,,SATIPOLY,
INE0RQZ01017,211174,ESCONET,,ESCONET,,Esconet Technologies,,ESCONET,
INE0RRU01016,211586,IEML,,IEML,,Indian Emulsifiers,,IEML,
INE0RTI01017,544498,OVAL,,,,Oval Projects Engineering,,OVAL,
INE0RU901015,544287,MANGALCOMP,,,,Mangal Compusolution,,MANGALCOMP,
INE0RUJ01013,544199,GEMENVIRO,,,,GEM Enviro Management,,GEMENVIRO,
INE0RUV01018,211636,AIMTRON,,AIMTRON,,Aimtron Electronics,,AIMTRON,
INE0RVQ01016,211963,MYMUDRA,,MYMUDRA,,My Mudra Fincorp,,MYMUDRA,
INE0RWQ01014,544254,TOLINS,,TOLINS,,Tolins Tyres,,TOLINS,
INE0RWU01016,544348,GBLOGISTIC,,,,GB Logistics Commerce,,GBLOGISTIC,
INE0RXB01022,211957,JEYYAM,,JEYYAM,,Jeyyam Global Foods,,JEYYAM,
INE0RXS01018,544372,SHREENATH,,,,Shreenath Paper Products,,SHREENATH,
INE0RYC01010,544342,STALLION,,STALLION,,Stallion India Fluorochemicals,,STALLION,
INE0RYR01018,215180,SUBAHOTELS,,SUBAHOTELS,,Suba Hotels,,SUBAHOTELS,
INE0S0701019,544163,GVL,,,,Greenhitech Ventures,,GVL,
INE0S0I01011,544195,COTFAB,,,,United Cotfab,,COTFAB,
INE0S1D01010,211981,INNOMET,,INNOMET,,Innomet Advanced Materials,,INNOMET,
INE0S1L01013,211571,EMMIL,,EMMIL,,Energy Mission Machineries,,EMMIL,
INE0S2E01016,211460,VISHWAS,,VISHWAS,,VISHWAS,,VISHWAS,
INE0S2G01011,544249,BALAJEE,,BALAJEE,,Shree Tirupati Balajee Agro,,BALAJEE,
INE0S2V01010,544204,VRAJ,,VRAJ,,Vraj Iron and Steel,,VRAJ,
INE0S2W01018,211936,PARAMATRIX,,PARAMATRIX,,Paramatrix Technologies,,PARAMATRIX,
INE0S3D01016,211565,WINSOL,,WINSOL,,Winsol Engineers,,WINSOL,
INE0S3G01027,544550,PACEDIGITK,,PACEDIGITK,,Pace Digitek,,PACEDIGITK,
INE0S3H01017,211882,POSITRON,,POSITRON,,Positron Energy,,POSITRON,
INE0S3X01014,211327,ENFUSE,,ENFUSE,,Enfuse Solutions,,ENFUSE,
INE0S4R01014,544439,CRIZAC,,CRIZAC,,Crizac,,CRIZAC,
INE0S4Y01010,211257,SHREEKARNI,,SHREEKARNI,,Shree Karni Fabcom,,SHREEKARNI,
INE0S5T01017,544552,RDGAIL,,,,Rukmani Devi Garg Agro Impex,,RDGAIL,
INE0S6R01027,544201,DFPL,,,,Dindigul Farm Products,,DFPL,
INE0S6S01017,211603,HOACFOODS,,HOACFOODS,,HOAC Foods India,,HOACFOODS,
INE0S7801010,211473,ASPIRE,,ASPIRE,,Aspire & Innovative Advertising,,ASPIRE,
INE0S7C01019,212001,DECCANTRAN,,DECCANTRAN,,Deccan Transcon Leasing,,DECCANTRAN,
INE0S7E01015,211687,GPECO,,GPECO,,GP Eco Solutions,,GPECO,
INE0S8401018,211509,DCG,,DCG,,DCG Cables & Wires,,DCG,
INE0S9101013,211694,WINNY,,WINNY,,Winny Immigration & Education Services,,WINNY,
INE0S9501014,544270,KGVL,,,,Khyati Global Ventures,,KGVL,
INE0S9X01011,544431,ACEALPHA,,,,Ace Alpha Tech,,ACEALPHA,
INE0SA001017,211798,RNFI,,RNFI,,RNFI Services,,RNFI,
INE0SAK01011,211474,BLUEPEBBLE,,BLUEPEBBLE,,Blue Pebble,,BLUEPEBBLE,
INE0SBP01018,211824,ESPRIT,,ESPRIT,,Esprit Stones,,ESPRIT,
INE0SC101013,544428,SEVL,,,,Supertech Ev,,SEVL,
INE0SCB01016,544177,AZTEC,,,,Aztec Fluids & Machinery,,AZTEC,
INE0SCO01019,24289,,,DPEL,,Divine Power Energy,,DPEL,
INE0SDC01012,544166,EMMFORCE,,,,Emmforce Autotech,,EMMFORCE,
INE0SFA01011,544585,SIHORA,,,,Sihora Industries,,SIHORA,
INE0SFW01015,212128,FRESHARA,,FRESHARA,,Freshara Agro Exports,,FRESHARA,
INE0SFZ01018,544231,BROACH,,,,Broach Lifecare Hospital,,BROACH,
