isin,securityid,newbsecode,oldbsecode,newnsecode,oldnsecode,newname,oldname,symbol,sector
INE667G01023,590051,SAKSOFT,,SAKSOFT,,Saksoft,,SAKSOFT,
INE668A01016,543596,TMB,,TMB,,Tamilnad Mercantile Bank,,TMB,
INE668D01028,512519,DONEAR,,DONEAR,,Donear Industries,,DONEAR,
INE668F01031,532926,JYOTHYLAB,,JYOTHYLAB,,Jyothy Laboratories,,JYOTHYLAB,
INE668G01021,523329,ELDEHSG,,ELDEHSG,,Eldeco Housing & Industries,,ELDEHSG,
INE668L01013,506180,EMERGENT,,,,Emergent Industrial Solutions,,EMERGENT,
INE668Y01016,508963,TRUSTWAVE,,,,Trustwave Securities,,TRUSTWAVE,
INE669A01022,509069,INFOMEDIA,,INFOMEDIA,,Infomedia Press,,INFOMEDIA,
INE669C01036,532755,TECHM,,TECHM,,Tech Mahindra,,TECHM,
INE669E01016,532822,IDEA,,IDEA,,Vodafone Idea,,IDEA,
INE669R01026,539533,ELITECON,,,,Elitecon International,,ELITECON,
INE669W01018,531946,CHADPAP,,,,Chadha Paper,,CHADPAP,
INE669X01032,17922,,,GEEKAYWIRE,,Geekay Wires,,GEEKAYWIRE,
INE669Y01022,540786,SHARIKA,,,,Sharika Enterprises,,SHARIKA,
INE670A01012,500408,TATAELXSI,,TATAELXSI,,Tata Elxsi,,TATAELXSI,
INE670C01026,526530,IIRM,,,,IIRM,,IIRM,
INE670H01017,514460,OSWAYRN,,,,Oswal Yarns,,OSWAYRN,
INE670K01029,543287,LODHA,,LODHA,,Lodha Developers,,LODHA,
INE670O01013,514330,ONEGLOBAL,,,,One Global Service Provider,,ONEGLOBAL,
INE670X01014,540702,LASA,,LASA,,Lasa Supergenerics,,LASA,
INE671A01010,517174,HONAUT,,HONAUT,,Honeywell Automation,,HONAUT,
INE671C01016,537253,SUNLOC,,,,Sunil Healthcare,,SUNLOC,
INE671D01014,531387,HASTIFIN,,,,Hasti Finance,,HASTIFIN,
INE671H01015,532784,SOBHA,,SOBHA,,Sobha,,SOBHA,
INE671K01027,539300,SUNRAKSHAK,,,,Sunrakshakk Industries,,SUNRAKSHAK,
INE671T01028,539884,DARSHANORNA,,,,Darshan Orna,,DARSHANORNA,
INE672A01026,501301,TATAINVEST,,TATAINVEST,,Tata Investment Corporation,,TATAINVEST,
INE672B01032,520059,MUNJALAU,,MUNJALAU,,Munjal Auto Industries,,MUNJALAU,
INE672K01025,533407,TRUEGREEN,,,,True Green Bio Energy,,TRUEGREEN,
INE673C01020,531681,AMERISE,,,,Amerise Biosciences,,AMERISE,
INE673E01018,538563,SMTEL,,,,SMT Engineering,,SMTEL,
INE673M01029,508969,SULABEN,,,,Sulabh Engineers & Services,,SULABEN,
INE673O01025,544174,TBOTEK,,TBOTEK,,TBO Tek,,TBOTEK,
INE673U01014,519413,DATIWARE,,,,Datiware Maritime Infra,,DATIWARE,
INE674K01013,540691,ABCAPITAL,,ABCAPITAL,,Aditya Birla Capital,,ABCAPITAL,
