isin,securityid,newbsecode,oldbsecode,newnsecode,oldnsecode,newname,oldname,symbol,company_id,sector,change,oldisin,oldsecurityid,oldsymbol
INE0SJX01015,544445,APL,,,,Asston Pharmaceuticals,,APL,,,new,,,
INE0SLP01017,544571,NSBBPO,,,,NSB BPO Solutions,,NSBBPO,,,new,,,
INE0SN801015,213508,SILKY,,SILKY,,Silky Overseas,,SILKY,,,new,,,
INE0SPJ01011,544556,DHILLON,,,,Dhillon Freight Carrier,,DHILLON,,,new,,,
INE0SRP01014,544544,TELGE,,,,Telge Projects,,TELGE,,,new,,,
INE0SUM01015,544568,ZAPPFRESH,,,,DSM Fresh Foods,,ZAPPFRESH,,,new,,,
INE0SVO01019,213787,SIDDHICOTS,,SIDDHICOTS,,Siddhi Cotspin,,SIDDHICOTS,,,new,,,
INE0TBQ01014,544437,MARCLOIRE,,,,Marc Loire Fashions,,MARCLOIRE,,,new,,,
INE0TGX01019,544450,CHEMBONDCH,,CHEMBONDCH,,Chembond Chemicals,,CHEMBONDCH,,,new,,,
INE0TI501017,544538,PRARUH,,,,Praruh Technologies,,PRARUH,,,new,,,
INE0TJ801010,544518,LTELEVATOR,,,,L. T. Elevator,,LTELEVATOR,,,new,,,
INE0TL001013,544440,CRYOGENIC,,,,Cryogenic Ogs,,CRYOGENIC,,,new,,,
INE0TLP01015,213514,WHITEFORCE,,WHITEFORCE,,Happy Square Outsourcing Services,,WHITEFORCE,,,new,,,
INE0TQE01026,544557,GLOTTIS,,GLOTTIS,,Glottis,,GLOTTIS,,,new,,,
INE0TY101024,544532,SOLARWORLD,,SOLARWORLD,,Solarworld Energy Solutions,,SOLARWORLD,,,new,,,
INE0U4H01011,215153,MPEL,,MPEL,,Manas Polymers & Energies,,MPEL,,,new,,,
INE0UCN01017,213570,SAVY,,SAVY,,Savy Infra & Logistics,,SAVY,,,new,,,
INE0UJF01018,544506,SHARVAYA,,,,Sharvaya Metals,,SHARVAYA,,,new,,,
INE0UMC01019,544444,GLEN,,,,Glen Industries,,GLEN,,,new,,,
INE0UOY01019,213647,MEDISTEP,,MEDISTEP,,Medistep Healthcare,,MEDISTEP,,,new,,,
INE0UQ601012,213680,CLASSICEIL,,CLASSICEIL,,Classic Electrodes (India),,CLASSICEIL,,,new,,,
INE0UZO01024,544434,NEETUYOSHI,,,,Neetu Yoshi,,NEETUYOSHI,,,new,,,
